Return ID,Order No,Return Date,Reason,Refund Amount
R900,O5282,22/02/2024,Changed mind,$360.00
R901,O5195,01/08/2024,Late delivery,$150.00
R902,O5208,18/10/2024,Wrong item,$180.00
R903,O5166,21/07/2024,Damaged,$240.00
R904,O5051,04/10/2024,Changed mind,$720.00
R905,O5134,04/08/2024,Damaged,$840.00
R906,O5289,25/12/2024,Defective,$560.00
R907,O5223,28/05/2024,Defective,$360.00
R908,O5212,17/12/2024,Defective,$480.00
R909,O5035,19/05/2024,Changed mind,"$1,200.00"
R910,O5144,02/06/2024,Defective,$280.00
R911,O5077,03/09/2024,Damaged,$720.00
R912,O5273,03/03/2024,Defective,$135.00
R913,O5175,21/02/2024,Damaged,$240.00
R914,O5198,14/11/2024,Damaged,"$3,000.00"
R915,O5187,26/08/2024,Damaged,$840.00
R916,O5243,09/07/2024,Changed mind,$360.00
R917,O5147,26/02/2024,Damaged,$360.00
R918,O5056,11/08/2024,Damaged,$630.00
R919,O5286,28/02/2024,Wrong item,"$1,200.00"
R920,O5225,05/01/2025,Changed mind,"$2,700.00"
R921,O5285,01/12/2024,Damaged,$60.00
R922,O5018,15/03/2024,Changed mind,$75.00
R923,O5271,18/03/2024,Defective,$480.00
R924,O5150,22/04/2024,Defective,"$1,200.00"
R925,O5298,30/08/2024,Late delivery,"$2,400.00"
R926,O5145,04/03/2024,Damaged,$720.00
R927,O5169,15/07/2024,Changed mind,$900.00
R928,O5278,08/10/2024,Changed mind,"$2,400.00"
R929,O5037,10/03/2024,Damaged,$750.00
R930,O5070,05/10/2024,Late delivery,"$2,700.00"
R931,O5205,22/02/2024,Changed mind,"$1,200.00"
R932,O5211,19/06/2024,Wrong item,$720.00
R933,O5227,04/05/2024,Changed mind,$960.00
R934,O5188,08/02/2024,Late delivery,"$3,000.00"
R935,O5214,17/05/2024,Changed mind,$900.00
R936,O5099,17/04/2024,Defective,$90.00
R937,O5016,18/09/2024,Damaged,"$1,500.00"
R938,O5164,11/01/2025,Defective,"$1,200.00"
R939,O5041,17/12/2024,Changed mind,$150.00
R940,O5159,18/06/2024,Wrong item,$720.00
R941,O5121,20/05/2024,Changed mind,$90.00
R942,O5251,17/01/2025,Wrong item,$640.00
R943,O5177,15/12/2024,Wrong item,"$1,080.00"
R944,O5058,28/11/2024,Defective,$120.00
